complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu
GW일반산업단지,0,0.054022222,0.241539106,0.118229271,0,0.123677139,0.291314225,0.043017132,0.426643042,0.062195531,0.087112558
I-Food Park일반산업단지,0.783396266,0,0,0,0,0,0,0,0,0,0.037517336
KCC울산일반산업단지,0.06127541,0,0.196301612,0,0.398326699,0,0.282291712,0.242782507,0.366076693,0,0.306888402
가평목동일반산업단지,0.203552505,0,0,0.118229271,0,0,0.130607889,0.14289982,0,0,0
강릉과학일반산업단지,0.601441633,0.054022222,0,0.518156239,0.732806668,0.053264845,0.261780184,0.336401672,0.133699851,0.062195531,0.260022805
강릉중소일반산업단지,0.06127541,0,0.196301612,0,0,0,0.314756278,0.14289982,0.133699851,0,0.176347979
강진환경산업단지,0.203552505,0,0,0.239339694,0.196765836,0.053264845,0.091290997,0.099882688,0.057581392,0,0
강화일반산업단지,0.203552505,0.125435715,0.307840526,0.365590742,0.196765836,0.053264845,0.393224289,0.273483655,0,0,0.153350719
강화하점일반산업단지,0,0.179457937,0.059092673,0.208127785,0,0,0,0.043017132,0.057581392,0,0
거제모사일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
거제오비일반산업단지,0,0,0,0,0,0,0,0,0.191281243,0,0
거창일반산업단지,0.439951871,0,0.241539106,0,0,0.176941984,0.378092815,0,0.057581392,0,0.124629894
경북바이오일반산업단지,0.546689459,0,0,0.287377117,0.084742433,0,0.160706336,0,0,0,0.176347979
경산제1일반산업단지,0.06127541,0.575053459,0.277761549,0.484324894,0.196765836,0.300619123,0.450428253,0.259064992,0.581002716,0.414110999,0.176347979
경산제2일반산업단지,0.369023055,0.513846014,0,0.365590742,0,0.123677139,0.282291712,0.286417163,0.383389084,0.206609082,0.124629894
경산제3일반산업단지,0,0.054022222,0,0.208127785,0,0,0.409680452,0.043017132,0.581002716,0.062195531,0.087112558
경주강동일반산업단지,0.06127541,0,0.307840526,0.265257944,0.398326699,0.405987406,0.446066076,0,0.383389084,0,0.293392286
경주건천용명일반산업단지,0,0,0,0.239339694,0,0,0.091290997,0.043017132,0.133699851,0,0.087112558
경주건천제1일반산업단지,0,0,0,0,0,0.053264845,0,0.099882688,0.133699851,0,0.087112558
경주건천제2일반산업단지,0,0,0,0.208127785,0,0.176941984,0.204819517,0,0.270657861,0,0.195444815
경주검단일반산업단지,0.06127541,0,0,0,0,0,0.039316892,0.043017132,0,0,0.153350719
경주구어제2일반산업단지,0,0,0,0,0,0.053264845,0.403381221,0,0.553734267,0,0.249798361
경주녹동일반산업단지,0,0,0,0,0,0,0.249959187,0,0.438888352,0,0.087112558
경주모화일반산업단지,0,0,0,0,0,0.250368191,0.334187525,0.14289982,0.534932215,0,0.2259432
경주문산일반산업단지,0,0,0,0,0,0,0.321608605,0,0.399081502,0,0.153350719
경주문산제2일반산업단지,0,0,0,0.239339694,0,0,0.439191352,0.286417163,0.575895004,0,0.324429608
경주석계일반산업단지,0,0,0,0.239339694,0,0.123677139,0.249959187,0,0.270657861,0,0.249798361
경주석계제2일반산업단지,0,0,0,0,0,0.176941984,0.221898886,0,0.133699851,0,0.087112558
경주석계제4일반산업단지,0,0,0,0,0,0,0.261780184,0,0.191281243,0,0.037517336
경주외동일반산업단지,0,0.054022222,0,0.050918575,0,0,0.130607889,0.043017132,0.460975004,0,0.087112558
경주외동제2일반산업단지,0,0,0,0,0,0.053264845,0.204819517,0,0.450296789,0,0.195444815
경주제내제2일반산업단지,0,0,0,0,0,0,0.160706336,0,0.133699851,0,0.211742452
경주천북일반산업단지,0.06127541,0,0.277761549,0.239339694,0.478274106,0.320780486,0.409680452,0.043017132,0.399081502,0,0.324429608
경주천북제2일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
경주화산일반산업단지,0,0,0.059092673,0,0,0,0.160706336,0,0.299967575,0,0.124629894
계룡제1산업단지,0.454013466,0,0,0,0,0,0.204819517,0.099882688,0.057581392,0,0
고덕국제화계획지구일반산업단지,0,0,0,0.050918575,0,0,0,0.043017132,0,0,0.037517336
고령개진일반산업단지,0.389561604,0.281426247,0.196301612,0.239339694,0,0,0.091290997,0.043017132,0.057581392,0,0
고령제1일반산업단지,0,0,0,0,0.398326699,0.57078405,0.282291712,0,0.191281243,0,0.037517336
고령제2일반산업단지,0,0.054022222,0.059092673,0.323717491,0.196765836,0.3546486,0.328071783,0,0.270657861,0,0.195444815
고성내산일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
고성대가룡일반산업단지,0,0,0,0,0,0,0.039316892,0,0,0,0.087112558
고성대독일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0.037517336
고성율대일반산업단지,0,0,0,0,0,0,0.091290997,0,0.057581392,0,0.037517336
고성장좌일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
고창일반산업단지,0.142277095,0,0,0,0.084742433,0,0,0,0,0,0
공주유구자카드일반산업단지,0.06127541,0.359691379,0,0,0,0,0.039316892,0,0,0,0.037517336
공주탄천일반산업단지,0.203552505,0,0,0.460805395,0.196765836,0.053264845,0.130607889,0,0,0,0
관리일반산업단지,0,0,0,0,0,0,0.130607889,0,0,0,0
광명일반산업단지,0,0,0,0,0.28150827,0.053264845,0.204819517,0,0,0,0.2259432
광양세풍일반산업단지,0.06127541,0,0.059092673,0.050918575,0,0.053264845,0.039316892,0,0,0,0.037517336
광양신금일반산업단지,0,0.054022222,0.059092673,0,0.084742433,0,0.339991192,0.35187623,0,0,0.238518418
광양익신일반산업단지,0,0,0,0.050918575,0.084742433,0.053264845,0.409680452,0.286417163,0,0,0.153350719
광양황금일반산업단지,0,0,0,0,0.196765836,0,0.039316892,0,0,0,0.037517336
광주본촌일반산업단지,0.695194355,0.400271763,0.473073756,0.208127785,0.346381547,0.053264845,0.378092815,0.308859098,0.270657861,0.460831004,0.443236637
광주소촌일반산업단지,0.28802137,0,0,0.239339694,0.084742433,0,0.291314225,0.099882688,0.235361799,0.324004719,0.293392286
광주송암일반산업단지,0.06127541,0.054022222,0.059092673,0.239339694,0.084742433,0,0.261780184,0,0.383389084,0,0.360787299
광주첨단과학국가산업단지,0,0.068529437,0,0.498782431,0.386210511,0.192683811,0.589301422,0.788557484,0.548128222,0,0.780302501
광주평동3차일반산업단지,0.25046096,0,0,0,0,0.123677139,0.460652075,0.418026571,0.191281243,0,0.356855625
광주평동일반산업단지,0.562044254,0.422463445,0.527215432,0.641970839,0.398326699,0.49483141,0.601066759,0.495138791,0.741998282,0.537833269,0.399362953
광주하남일반산업단지,0.467044348,0.488892928,0.676986609,0.657819596,0.398326699,0.563102762,0.68414883,0.569098156,0.653284224,0.518977915,0.441417744
괴산대제일반산업단지,0.369023055,0,0.137208938,0.352903271,0.441461754,0.123677139,0.272495053,0.043017132,0,0,0
괴산유기식품일반산업단지,0.439951871,0,0,0,0,0,0,0,0,0,0.124629894
괴산첨단산업단지,0.06127541,0,0,0.239339694,0,0,0,0.242782507,0,0,0
구미국가산업단지,0.67118825,0.862146019,0.841466109,0.902129928,0.886481076,0.698543394,0.782101547,0,0,0,0
국가식품클러스터국가산업단지,0.918482214,0,0.138257141,0.237541066,0,0,0,0,0,0,0.22332255
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,0.06127541,0,0,0,0,0,0,0,0,0,0
군산2국가산업단지,0.474380999,0.284440112,0.593336607,0.666447072,0.751713192,0.539620604,0.61814474,0.387925138,0.740088404,0.427220227,0.405072843
군산국가산업단지,0.356671901,0.189743839,0.253271314,0.516721476,0.410670325,0.244648787,0.458604622,0.345401725,0.671291458,0.227115287,0.328663531
군산일반산업단지,0.345829601,0.054022222,0.241539106,0.37727563,0.732806668,0.217718073,0.091290997,0.043017132,0.133699851,0,0.2259432
기장기룡제1일반산업단지,0.06127541,0,0,0,0,0,0,0,0,0,0
기장기룡제2일반산업단지,0,0,0,0.050918575,0,0.053264845,0,0,0,0,0
기장명례일반산업단지,0.06127541,0.179457937,0,0,0,0.488567926,0.396711863,0.202199436,0.513732018,0,0.30034971
기장에코장안일반산업단지,0,0.253928198,0,0.118229271,0.084742433,0,0.160706336,0.099882688,0.191281243,0,0.176347979
기장장안일반산업단지,0,0,0,0,0,0,0.385910368,0.344379009,0.528161142,0,0.269371065
기장정관일반산업단지,0.42468377,0.054022222,0.307840526,0.118229271,0.346381547,0.176941984,0.450428253,0.298140444,0.575895004,0.395411323,0.313055757
김제순동일반산업단지,0.369023055,0,0.137208938,0.208127785,0.196765836,0,0.204819517,0.224095744,0.324981094,0,0
김제지평선일반산업단지,0.369023055,0.220813825,0.137208938,0.287377117,0.196765836,0.176941984,0.418518788,0.259064992,0.489432956,0.062195531,0.153350719
김천제1일반산업단지,0.47918467,0.220813825,0.137208938,0.416509317,0.645911217,0.123677139,0.345513018,0.308859098,0.575895004,0,0.124629894
김포상마일반산업단지,0,0,0.059092673,0.365590742,0,0.277480724,0.249959187,0.043017132,0,0.062195531,0
김포양촌일반산업단지,0,0.253928198,0.736170251,0.55263506,0,0.482038777,0.646685011,0.671145932,0.057581392,0.675027352,0.409674617
김포율생일반산업단지,0,0,0.059092673,0.208127785,0,0.123677139,0.130607889,0.043017132,0,0.144413551,0
김포통진일반산업단지,0,0,0,0.169147846,0,0,0,0,0,0,0
김포학운2일반산업단지,0.142277095,0,0.277761549,0.577691872,0,0.320780486,0.434365381,0.202199436,0,0.431060889,0.124629894
김포학운3일반산업단지,0.407984637,0,0.409555797,0.643818621,0,0.49483141,0.557317093,0.441344732,0,0.414110999,0.306888402
김포학운4일반산업단지,0.142277095,0,0,0.478787976,0.084742433,0.416540617,0.533248667,0.286417163,0,0.144413551,0
김포학운일반산업단지,0,0,0.196301612,0.339026643,0,0.176941984,0.307465134,0.043017132,0,0.062195531,0.037517336
김포항공일반산업단지,0,0,0,0,0,0,0,0,0.133699851,0,0.176347979
김해GoldenRoot일반산업단지,0,0,0,0.118229271,0,0,0.492790709,0.437749785,0.541438519,0,0.277980613
김해덕암일반산업단지,0.203552505,0,0.059092673,0.287377117,0.084742433,0.123677139,0.272495053,0,0.34677632,0.062195531,0.037517336
김해명동일반산업단지,0,0,0,0,0,0.176941984,0.385910368,0.043017132,0.270657861,0,0.153350719
김해오척일반산업단지,0,0,0,0,0,0.123677139,0.236780787,0.14289982,0.324981094,0,0.153350719
김해이노비즈벨리일반산업단지,0.06127541,0,0,0,0.28150827,0,0.091290997,0,0,0,0.195444815
김해진영주호일반산업단지,0,0,0,0,0,0,0.282291712,0.099882688,0.191281243,0,0.037517336
김해테크노밸리일반산업단지,0,0,0,0,0.084742433,0.053264845,0.604419963,0.469730231,0.740077768,0,0.445025481
나주문평일반산업단지,0.06127541,0.054022222,0,0.118229271,0,0,0.091290997,0,0,0,0
나주신도일반산업단지,0,0,0.33351055,0,0,0,0.091290997,0.259064992,0,0,0.124629894
나주일반산업단지,0.595454605,0.054022222,0.196301612,0.239339694,0.084742433,0,0.221898886,0.099882688,0,0.144413551,0.037517336
나주혁신일반산업단지,0.47918467,0,0,0.42487966,0.084742433,0,0.261780184,0.602243638,0.057581392,0,0.269371065
남공주일반산업단지,0,0,0,0.398192372,0,0,0.130607889,0.043017132,0,0,0.124629894
남동국가산업단지,0.965933458,0.805788712,0.985418014,1,1,0.804231201,0.939608607,0.899499909,0.916440076,1,0.587686421
남양주광릉테크노밸리일반산업단지,0.31921139,0.054022222,0.059092673,0.287377117,0,0,0.282291712,0.175830929,0.191281243,0,0.037517336
남양주금곡일반산업단지,0.369023055,0.054022222,0.241539106,0.306650389,0,0,0.184806682,0.099882688,0,0.144413551,0
남양주진관일반산업단지,0,0.400271763,0.33351055,0.323717491,0.28150827,0,0.328071783,0.273483655,0,0.144413551,0.087112558
남여주일반산업단지,0,0,0,0.050918575,0,0,0,0.202199436,0,0,0
남원일반산업단지,0,0,0,0,0.346381547,0,0.204819517,0,0,0,0
남춘천일반산업단지,0.31921139,0.054022222,0,0.323717491,0,0,0.039316892,0.043017132,0,0,0.153350719
논산동산일반산업단지,0.25046096,0.054022222,0.241539106,0.352903271,0.084742433,0.053264845,0.261780184,0.099882688,0.133699851,0,0.124629894
논산일반산업단지,0.454013466,0.179457937,0.196301612,0.265257944,0.084742433,0,0.091290997,0.099882688,0,0,0.124629894
논산제2일반산업단지,0.06127541,0.054022222,0.196301612,0.118229271,0.084742433,0,0,0.043017132,0,0,0.037517336
단양일반산업단지,0,0,0,0.169147846,0.510350102,0,0.039316892,0,0,0,0
달성2차일반산업단지,0.389561604,0.411760176,0.375684744,0.416509317,0.28150827,0.435701587,0.537300366,0.344379009,0.649995411,0.144413551,0.153350719
달성일반산업단지,0.520831539,0.679115598,0.450407418,0.559310939,0.538754426,0.468086264,0.443820456,0.404490611,0.665824935,0.144413551,0.211742452
담양일반산업단지,0.607232759,0.125435715,0.307840526,0.509257456,0.346381547,0,0.41564846,0.298140444,0.191281243,0.292346345,0
당진송산제2일반산업단지,0,0,0,0.38810402,0.084742433,0.300619123,0.29967539,0.043017132,0.133699851,0,0.195444815
당진제1철강일반산업단지,0,0,0,0,0,0.123677139,0,0,0,0,0.087112558
당진합덕인더스파크일반산업단지,0.06127541,0,0.137208938,0.118229271,0.084742433,0,0.130607889,0.099882688,0,0,0
당진합덕일반산업단지,0.28802137,0,0,0.239339694,0.084742433,0,0.36525467,0,0.191281243,0.144413551,0.153350719
대구국가산업단지,0,0,0,0.168309207,0.280112545,0,0.513169845,0.475518446,0.752296291,0,0.385755328
대구염색일반산업단지,0,0.770283397,0,0.050918575,0,0,0,0,0,0,0.211742452
대구이시아폴리스일반산업단지,0,0.387874643,0,0.050918575,0,0,0.272495053,0.318730749,0.191281243,0.254221922,0.293392286
대구제3일반산업단지,0.454013466,0.558641787,0.424280022,0.518156239,0.398326699,0.488567926,0.742044461,0.603209508,0.715113103,0.446558259,0.455179075
대구출판산업단지,0,0,0.763421173,0,0,0,0,0,0,0.062195531,0.318891578
대구테크노폴리스일반산업단지,0.142277095,0.422463445,0,0.287377117,0,0,0.412703669,0.409168321,0.534932215,0,0.153350719
대불국가산업단지,0.437505653,0.116739996,0.065550223,0.439547048,0.756003949,0.296345263,0.523951385,0.258735424,0.842310681,0.227159564,0.29755105
대불외국인투자지역,0,0,0,0,0,0,0.243364666,0,0.494550142,0,0.099907354
대전 일반산업단지,0,0,0,0,0,0,0,0,0,0,0
대전하소친환경일반산업단지,0.407984637,0.054022222,0.241539106,0.208127785,0,0,0.291314225,0.259064992,0.133699851,0.374564364,0.260022805
동고령일반산업단지,0,0.179457937,0.059092673,0.169147846,0.28150827,0,0.29967539,0,0.235361799,0,0.087112558
동두천국가산업단지,0,0,0,0,0,0,0,0,0,0,0
동두천상봉암일반산업단지,0.06127541,0,0,0,0,0.053264845,0,0.099882688,0,0.062195531,0.037517336
동두천일반산업단지,0,0.589901501,0,0,0,0,0,0.043017132,0,0,0.037517336
동두천제2일반산업단지,0,0.054022222,0,0.050918575,0,0.123677139,0.282291712,0.202199436,0,0,0.087112558
마산진북일반산업단지,0,0,0.059092673,0,0,0.053264845,0.41564846,0.14289982,0.235361799,0,0.2259432
명계3일반산업단지,0,0,0,0,0,0.176941984,0.130607889,0.099882688,0.366076693,0,0.195444815
명지녹산국가산업단지,0.657583863,0.709357898,0.735936448,0.733396907,0.689777734,0.724415476,0.73424085,0.504320546,0.828005859,0.447116744,0.46839113
목포대양일반산업단지,0.638487329,0.253928198,0.196301612,0.265257944,0.478274106,0,0.355811921,0.42222964,0.270657861,0.324004719,0.455179075
목포삽진일반산업단지,0,0,0,0,0,0,0.160706336,0,0.521102875,0,0
문경신기일반산업단지,0,0,0,0,0,0,0.130607889,0.043017132,0,0,0
문경신기제2일반산업단지,0.467044348,0,0,0.306650389,0.084742433,0,0.291314225,0.14289982,0,0.062195531,0
밀양나노융합국가산업단지,0.25046096,0,0,0,0,0,0,0,0,0,0.138830642
밀양사포일반산업단지,0,0,0,0,0,0,0.334187525,0.14289982,0.513732018,0,0.195444815
밀양용전일반산업단지,0,0,0,0.050918575,0.084742433,0.250368191,0.236780787,0.043017132,0.299967575,0,0.238518418
밀양하남일반산업단지,0,0,0,0.050918575,0.084742433,0.217718073,0.039316892,0,0.057581392,0,0
반월국가산업단지,0.83348363,0.942078687,1,0.969017907,0.804938671,0.822147392,0.91534466,1,0.943818854,0.865310742,0.589449922
보령관창일반산업단지,0.142277095,0,0,0.118229271,0,0.123677139,0.160706336,0,0.324981094,0,0.195444815
보은동부일반산업단지,0,0,0,0,0,0,0.039316892,0,0,0,0
보은일반산업단지,0.31921139,0,0,0.484324894,0.346381547,0,0.204819517,0.14289982,0,0,0.087112558
부산강서보고일반산업단지,0,0.054022222,0,0.050918575,0,0.053264845,0.261780184,0.099882688,0.133699851,0,0.153350719
부산강서신호일반산업단지,0,0,0,0,0,0.123677139,0.456672381,0.224095744,0.235361799,0,0.124629894
부산강서화전일반산업단지,0,0,0,0.050918575,0,0.49483141,0.58656517,0.371988862,0.559557333,0,0.313055757
부산과학일반산업단지,0,0.054022222,0.059092673,0.306650389,0.084742433,0.3546486,0.509218588,0.434047699,0.646640206,0.062195531,0.30034971
부산미음일반산업단지,0,0,0,0.118229271,0,0.546483631,0.611878935,0.469730231,0.725974248,0.062195531,0.375226197
부산반룡일반산업단지,0.42468377,0,0.393451516,0,0,0,0.29967539,0.371988862,0.480476172,0,0.269371065
